1728031229.476933 client started (911): version 3.3a, socket /private/tmp/tmux-502/default, protocol 8
1728031229.477003 on Darwin 23.6.0 Darwin Kernel Version 23.6.0: Mon Jul 29 21:14:30 PDT 2024; root:xnu-10063.141.2~1/RELEASE_ARM64_T6000
1728031229.477014 using libevent 2.1.12-stable (select); utf8proc 2.9.0; ncurses 6.0
1728031229.480471 sending message 112 to peer 0x120008000 (10 bytes)
1728031229.480473 sending message 112 to peer 0x120008000 (15 bytes)
1728031229.480476 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480478 sending message 112 to peer 0x120008000 (9 bytes)
1728031229.480481 sending message 112 to peer 0x120008000 (70 bytes)
1728031229.480486 sending message 112 to peer 0x120008000 (69 bytes)
1728031229.480489 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480491 sending message 112 to peer 0x120008000 (10 bytes)
1728031229.480494 sending message 112 to peer 0x120008000 (10 bytes)
1728031229.480497 sending message 112 to peer 0x120008000 (15 bytes)
1728031229.480499 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480502 sending message 112 to peer 0x120008000 (10 bytes)
1728031229.480505 sending message 112 to peer 0x120008000 (10 bytes)
1728031229.480508 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480510 sending message 112 to peer 0x120008000 (15 bytes)
1728031229.480513 sending message 112 to peer 0x120008000 (5 bytes)
1728031229.480517 sending message 104 to peer 0x120008000 (0 bytes)
1728031229.480523 sending message 110 to peer 0x120008000 (0 bytes)
1728031229.480527 sending message 107 to peer 0x120008000 (4 bytes)
1728031229.480530 sending message 105 to peer 0x120008000 (50 bytes)
1728031229.480533 sending message 105 to peer 0x120008000 (47 bytes)
1728031229.480535 sending message 105 to peer 0x120008000 (20 bytes)
1728031229.480538 sending message 105 to peer 0x120008000 (22 bytes)
1728031229.480541 sending message 105 to peer 0x120008000 (30 bytes)
1728031229.480544 sending message 105 to peer 0x120008000 (73 bytes)
1728031229.480546 sending message 105 to peer 0x120008000 (68 bytes)
1728031229.480549 sending message 105 to peer 0x120008000 (65 bytes)
1728031229.480552 sending message 105 to peer 0x120008000 (71 bytes)
1728031229.480554 sending message 105 to peer 0x120008000 (66 bytes)
1728031229.480557 sending message 105 to peer 0x120008000 (43 bytes)
1728031229.480560 sending message 105 to peer 0x120008000 (24 bytes)
1728031229.480562 sending message 105 to peer 0x120008000 (25 bytes)
1728031229.480565 sending message 105 to peer 0x120008000 (37 bytes)
1728031229.480568 sending message 105 to peer 0x120008000 (30 bytes)
1728031229.480570 sending message 105 to peer 0x120008000 (34 bytes)
1728031229.480573 sending message 105 to peer 0x120008000 (35 bytes)
1728031229.480576 sending message 105 to peer 0x120008000 (35 bytes)
1728031229.480578 sending message 105 to peer 0x120008000 (17 bytes)
